,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
1015,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36359787,-85.69179535,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,3,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.95
1015,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36359787,-85.69179535,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,1,3,0.649999976,2,2,10.5,2,1,10.5,31.61
1016,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36359787,-85.69179535,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,1,3,0.649999976,2,2,10.5,2,1,10.5,31.95
1016,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36359787,-85.69179535,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,3,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.95
1016,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36359787,-85.69179535,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.61
1018,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36097527,-85.70300293,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,1,3,0.400000006,2,2,6.599999905,2,1,6.599999905,33.55
1018,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36097527,-85.70300293,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,3,6,0.400000006,2,2,6.599999905,2,1,6.599999905,33.55
1018,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36097527,-85.70300293,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,2,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.95
1019,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36097527,-85.70300293,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,1,3,0.400000006,2,2,6.599999905,2,1,6.599999905,33.55
1019,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36097527,-85.70300293,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.800000191,2,1,9.800000191,33.55
1019,Nombre X,5,3,5,13,155,15.27000046,23,1,5,1.549999952,2,0.699999988,0.230000004,0,0,0,0,0,10.36097527,-85.70300293,1,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,3,6,0.400000006,2,2,6.599999905,2,1,6.599999905,31.95
471,Nombre X,3,5,6,9,10,53.33800125,3.025000095,1,5.539999962,1.100000024,1,0,0,0,0,0.200000003,0,0.730000019,9.898832321,-83.62914276,1,1,2,1,2,0,0,0,0,1.100000024,0.600000024,0.300000012,1,1,0.349999994,1,1,3.025000095,3,11,3.025000095,37.14
1789,Nombre X,4,10,5,22,745,23.93000031,48,1,6.5,2,3,0.800000012,0,0,0,0,0,0.800000012,10.57470798,-84.14403534,3,1,2,1,2,0,0,2,0,0,0,0,1,6,3.599999905,2,1,48,1,8,48,33.66
2064,Nombre X,2,12,1,6,710,0.215000004,3.599999905,1,2.150000095,1.700000048,3,0,0,0,0,0,0.050000001,1.080000043,10.08986378,-84.35316467,1,1,2,1,2,0,0,0,0,1.700000048,0,0.300000012,1,2,0.219999999,3,2,3.599999905,1,1,3.599999905,27.68
2170,Nombre X,4,2,2,10,128,2.34100008,6.050000191,1,5.050000191,1.100000024,2,0,0,0,0,0.25999999,0,0.730000019,10.03804207,-84.14054871,1,1,2,1,2,0,0,0,0,1.100000024,0.600000024,0.300000012,1,1,0.400000006,1,2,6.050000191,3,1,6.050000191,33.83
2178,Nombre X,1,9,5,3,121,10.73900032,10,1,2.5,0,2,0.879999995,0,0.200000003,0,0,0,0,9.928664207,-84.21757507,3,1,3,2,2,2,0,0,0,0,0,0,1,1,0.379999995,1,1,5,3,2,10,34.39
